playlist_uri,playlist_name,,,,,,,,,
5SeRMB2OnaHc37NcNA9mEs,CS121 Tunes,,,,,,,,,
37i9dQZF1DX99gNWyxQ2OR,Chopin Nocturnes,,,,,,,,,
52ed11cF35KOKnJsetko4M,David Bowie Official Playlist: Top Tracks,,,,,,,,,
1VmZPGCZLkB4H4VXRwEe7r,Game of Thrones Soundtracks,,,,,,,,,
0XBmF3VhDd7SsyEYcGApYm,pokemon game soundtrack,,,,,,,,,
2gb7i6T9QZKaNKHFJf5kYF,Zelda Themes,,,,,,,,,
6eWTGaHznQU0l708WKqAxt,Retro Video Game Music,,,,,,,,,
37i9dQZF1DX2rheAFbQM31,This is Moby,,,,,,,,,
1oug63AqbSSxpytvc8ORDn,Zelda Remixes,,,,,,,,,
7scUY5asVSM1xwOQEQf9qw,2000s r&b,,,,,,,,,
5B66Bd3mPfvfQm8sOXvSLn,electric,,,,,,,,,
37i9dQZF1DWUa8ZRTfalHk,Pop Rising,,,,,,,,,
3wPWN6RV9fKZVV2vXIRSuX,rhythm & blues,,,,,,,,,
57fcnmNKGYk9ucVzo7oqIA,slow pop,,,,,,,,,
37i9dQZF1DXcBWIGoYBM5M,Today's Top Hits,,,,,,,,,
