track_uri,track_name,artist_uri,album_uri,playlist_uri,duration_ms,preview_url,popularity,added_at,added_by,,date,time,added_at
1tiiHf6ThJYFzSIa3G9T3f,Lavender Town,0Vb15td3iKkAzdGD5Sj9Ky,1vCADALmxMqwx66tha2Cb5,5SeRMB2OnaHc37NcNA9mEs,162632,,0,2022-01-23 00:19:00,pikapi2323,,2022-01-23,00:19:00,2022-01-23
75X06gigiYgGr0e6GEXCkC,Sacred Grove,2dB3VxAmEw5Dqewiha1oO1,6OQXBWSqBHF8A0VfOXG2Xh,5SeRMB2OnaHc37NcNA9mEs,156595,,0,2022-01-23 00:19:00,pikapi2323,,2022-01-23,00:19:00,2022-01-23
0VqwMCMcqDgMtTrDkEritV,Pokemon Tower in Lavender Town,2dB3VxAmEw5Dqewiha1oO1,4p3rHiPRhDwt1PgqWsk3D7,5SeRMB2OnaHc37NcNA9mEs,151846,https://p.scdn.co/mp3-preview/875cdc74135f610c2d16ca38815bef981439cce2?cid=9950ac751e34487dbbe027c4fd7f8e99,26,2022-01-23 00:19:00,pikapi2323,,2022-01-23,00:19:00,2022-01-23
1yxPTjkJXaNUYafPWPIjRx,The Lure (Interlude),7E7fJJpdVgr1F3pfAfRtHe,51fF4JNsyx99YAWixRgmVh,5SeRMB2OnaHc37NcNA9mEs,153520,https://p.scdn.co/mp3-preview/37db8d92eced1aa70e4060be401dd999050b288a?cid=9950ac751e34487dbbe027c4fd7f8e99,20,2022-01-23 00:19:00,pikapi2323,,2022-01-23,00:19:00,2022-01-23
4GoOvxHNNv6jb13HUpxSjN,Ocarina of Time - Song of Storms (Instrumental Remix) (The Legend of Zelda),0fagNxnyvy6FDvkNPt6X29,7eAJgISHqRsXGToqU6R1s3,5SeRMB2OnaHc37NcNA9mEs,123433,https://p.scdn.co/mp3-preview/41ae0561e7f8863487a99f1533c050242fdc5ec1?cid=9950ac751e34487dbbe027c4fd7f8e99,33,2022-01-23 00:19:00,pikapi2323,,2022-01-23,00:19:00,2022-01-23
4Nkvli16tu5Gx6GibCEUkK,Thσ Shape of Hugin,4PRz1NoXljrabtpfxY3cSP,6dNm0vd6ieTt8O867liJx4,5SeRMB2OnaHc37NcNA9mEs,285918,,0,2022-01-23 00:20:00,pikapi2323,,2022-01-23,00:20:00,2022-01-23
6x5RUW9dnAY5wK0gSt9D4G,It's the Same for Everyone,1UztxAFwIMRgVVNdQ54iqg,2v0YId0fD4JYNamt8eJPt0,5SeRMB2OnaHc37NcNA9mEs,437613,https://p.scdn.co/mp3-preview/6d0853ece4d084c7832940edb543c56bac8d31ea?cid=9950ac751e34487dbbe027c4fd7f8e99,6,2022-01-23 00:20:00,pikapi2323,,2022-01-23,00:20:00,2022-01-23
7hharBRLM0uDjr3yztXzqb,Winterreise,0y9T7O1q6PyYt8fOSJfRm5,08soVZCoxwNFn28pR2D4Bx,5SeRMB2OnaHc37NcNA9mEs,246360,https://p.scdn.co/mp3-preview/1e5c4e5811ebde46a3357dd3e1f321c586e5ca76?cid=9950ac751e34487dbbe027c4fd7f8e99,33,2022-01-23 00:21:00,pikapi2323,,2022-01-23,00:21:00,2022-01-23
5KNJ2qBD92lNfdcdcHmzEY,Session,6XyY86QOPPrYVGvF9ch6wz,0y13VbGddQ4azdVWakksAL,5SeRMB2OnaHc37NcNA9mEs,143800,https://p.scdn.co/mp3-preview/99c75791f8952f465ef49c5e694db8a1b90ba51e?cid=9950ac751e34487dbbe027c4fd7f8e99,47,2022-01-23 00:21:00,pikapi2323,,2022-01-23,00:21:00,2022-01-23
2VCn4EpKN5Liex8JsoC3wM,Ghosts,6Ghvu1VvMGScGpOUJBAHNH,4RQnFSkkZlA65Xxchhnaha,5SeRMB2OnaHc37NcNA9mEs,268000,https://p.scdn.co/mp3-preview/e83eee539b6bf310a3a591c006e8318825dbaced?cid=9950ac751e34487dbbe027c4fd7f8e99,35,2022-01-23 00:21:00,pikapi2323,,2022-01-23,00:21:00,2022-01-23
1q6of8MARmRLg8xIjexscd,Nocturnes Op. 55: No. 1 in F minor. Andante,7y97mc3bZRFXzT2szRM4L4,2EJIGjaVFq9PKinjyA9yOn,5SeRMB2OnaHc37NcNA9mEs,325360,https://p.scdn.co/mp3-preview/758ad20fe62621e5805237793236a60de52038b0?cid=9950ac751e34487dbbe027c4fd7f8e99,39,2022-01-23 00:21:00,pikapi2323,,2022-01-23,00:21:00,2022-01-23
47Au9gs4EFabXhFVBTg6Xk,Imagination,4hkHAVlTVsZxt1CwaKlNVk,2c4cBfQgxCqw0FSM0Ti0XV,5SeRMB2OnaHc37NcNA9mEs,178536,https://p.scdn.co/mp3-preview/37762ec9b5dd4b29b258e57be315aa7012a9d983?cid=9950ac751e34487dbbe027c4fd7f8e99,38,2022-01-23 00:21:00,pikapi2323,,2022-01-23,00:21:00,2022-01-23
1GM34ehWYHU7v86YhaBEnc,Melting Sun IV: Jade Fields,1cbBzQxiKcZCsit68iTbTJ,214nf2L35OVQLhX7yUyfKQ,5SeRMB2OnaHc37NcNA9mEs,389026,,0,2022-01-23 00:22:00,pikapi2323,,2022-01-23,00:22:00,2022-01-23
0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,0oSGxfWSnnOXhD2fKuz2Gy,48D1hRORqJq52qsnUYZX56,5SeRMB2OnaHc37NcNA9mEs,254293,https://p.scdn.co/mp3-preview/aeba0bb4e8ddbc1b44f4ed3dff624ad0aa2a8617?cid=9950ac751e34487dbbe027c4fd7f8e99,77,2022-01-23 00:22:00,pikapi2323,,2022-01-23,00:22:00,2022-01-23
1y4jsQt7MjnZhiD1L6qFBC,Cradles,7gXb99Sf9nNmpNYeAgIQFG,2fLkonSk9cVovvnRKKYtk5,5SeRMB2OnaHc37NcNA9mEs,209829,https://p.scdn.co/mp3-preview/09aa2f0a04306067ecf8f0c26844b6ba0a88c336?cid=9950ac751e34487dbbe027c4fd7f8e99,74,2022-01-23 00:22:00,pikapi2323,,2022-01-23,00:22:00,2022-01-23
3ZE3wv8V3w2T2f7nOCjV0N,Life on Mars? - 2015 Remaster,0oSGxfWSnnOXhD2fKuz2Gy,6fQElzBNTiEMGdIeY0hy5l,5SeRMB2OnaHc37NcNA9mEs,235986,https://p.scdn.co/mp3-preview/8ec3a4b322c0df167ad409a668ceaa704fcbd1c0?cid=9950ac751e34487dbbe027c4fd7f8e99,74,2022-01-23 00:22:00,pikapi2323,,2022-01-23,00:22:00,2022-01-23
4gdSgHwfMeB6Ri5fS43SUW,From Mars,0GDGKpJFhVpcjIGF8N6Ewt,3jfojn8GJUDoxzBd1EPY2c,5SeRMB2OnaHc37NcNA9mEs,144786,,0,2022-01-23 00:23:00,pikapi2323,,2022-01-23,00:23:00,2022-01-23
2ErC9Ci2EP8anSbTSmIn9r,The wind and the leaves,0y9T7O1q6PyYt8fOSJfRm5,2PRvY4gZgfJLToefe9Jw1N,5SeRMB2OnaHc37NcNA9mEs,160266,https://p.scdn.co/mp3-preview/1158e9efa00c5b6629a021b5206fe1e299395731?cid=9950ac751e34487dbbe027c4fd7f8e99,21,2022-01-23 00:23:00,pikapi2323,,2022-01-23,00:23:00,2022-01-23
388kF2viiv8i9aEWIThyGT,Easier to Run,6XyY86QOPPrYVGvF9ch6wz,0y13VbGddQ4azdVWakksAL,5SeRMB2OnaHc37NcNA9mEs,204173,https://p.scdn.co/mp3-preview/228ced9e2ded7592745c41d939cf2679ff7b30d4?cid=9950ac751e34487dbbe027c4fd7f8e99,51,2022-01-23 00:24:00,pikapi2323,,2022-01-23,00:24:00,2022-01-23
