gamehash,league,season,type,year,game_length
fbb300951ad8327c,NALCS,Spring,Season,2015,40
055b17da8456fdc8,NALCS,Spring,Season,2015,38
8e8a9b58df366e2d,NALCS,Spring,Season,2015,40
0ed1cd0e0e57329c,NALCS,Spring,Season,2015,41
f932becf86175f38,NALCS,Spring,Season,2015,35
194c672d7969984f,NALCS,Spring,Season,2015,24
2a7ecaf7380e9d89,NALCS,Spring,Season,2015,39
c1678fe8c1106f56,NALCS,Spring,Season,2015,43
23bade11cbfc3da3,NALCS,Spring,Season,2015,41
bb82a23d050613d1,NALCS,Spring,Season,2015,32
e8fbe00273df6ede,NALCS,Spring,Season,2015,52
00a7858e986c8d87,NALCS,Spring,Season,2015,46
0a0ecdfbe1497be1,NALCS,Spring,Season,2015,38
7a7bb445d18d9d78,NALCS,Spring,Season,2015,31
205d8eb5a6029a26,NALCS,Spring,Season,2015,33
526656c79ac5b9d1,NALCS,Spring,Season,2015,38
a196e7371aa0a23c,NALCS,Spring,Season,2015,40
9e3a93e956d7732b,NALCS,Spring,Season,2015,39
4ee943c3b28c3680,NALCS,Spring,Season,2015,40
27b78c313c1137d7,NALCS,Spring,Season,2015,39
ff41aed69d32573b,NALCS,Spring,Season,2015,49
62e360abbd8ddc56,NALCS,Spring,Season,2015,35
b8637cf4aa7edc70,NALCS,Spring,Season,2015,36
2d6a1d82ef0f712f,NALCS,Spring,Season,2015,43
ce0cb0ff15f46940,NALCS,Spring,Season,2015,32
0fc6e4425e0da906,NALCS,Spring,Season,2015,31
5ebe8599510754b7,NALCS,Spring,Season,2015,36
ef40a808db5a979c,NALCS,Spring,Season,2015,41
ac88c9ebef96eea3,NALCS,Spring,Season,2015,31
0ac141320e5d0d1a,NALCS,Spring,Season,2015,30
93aa539a57bd9410,NALCS,Spring,Season,2015,45
e51256475a000fe2,NALCS,Spring,Season,2015,42
e1bde5fe2c45e8e3,NALCS,Spring,Season,2015,27
39b9ce5203d86ca3,NALCS,Spring,Season,2015,35
762c72407ff38146,NALCS,Spring,Season,2015,43
f7660a0913591227,NALCS,Spring,Season,2015,37
fd8fc20be34b5c44,NALCS,Spring,Season,2015,40
c292e0f8bae5f425,NALCS,Spring,Season,2015,46
4ee28c7066b9abec,NALCS,Spring,Season,2015,48
39b59022b7b3c006,NALCS,Spring,Season,2015,39
d9538f2bc0c37e0e,NALCS,Spring,Season,2015,40
30f903bff8e6336a,NALCS,Spring,Season,2015,49
2e458128cf3104dc,NALCS,Spring,Season,2015,37
c7dc48aa3e0cf7d9,NALCS,Spring,Season,2015,35
5f815b5bea274396,NALCS,Spring,Season,2015,24
3d6baa0cc755c64b,NALCS,Spring,Season,2015,44
69af528266947113,NALCS,Spring,Season,2015,54
a5610f43cd3d602d,NALCS,Spring,Season,2015,47
4a8f29871aa91c19,NALCS,Spring,Season,2015,33
396617cc71cbceda,NALCS,Spring,Season,2015,30
bc68309937870981,NALCS,Spring,Season,2015,34
a533f17d4bb03191,NALCS,Spring,Season,2015,49
ca91673c6bf73b8c,NALCS,Spring,Season,2015,29
50ad455b65d0dc4a,NALCS,Spring,Season,2015,33
4ed8e2415375e46a,NALCS,Spring,Season,2015,29
1a0b4fb7d835dfe3,NALCS,Spring,Season,2015,33
829819eb50b6fb17,NALCS,Spring,Season,2015,30
