player_name,gamehash,team_name,role,champion,gold
Dyrus,fbb300951ad8327c,TSM,Top,Irelia,12526
Santorin,fbb300951ad8327c,TSM,Jungle,RekSai,11224
Bjergsen,fbb300951ad8327c,TSM,Middle,Ahri,15177
WildTurtle,fbb300951ad8327c,TSM,ADC,Jinx,15048
Lustboy,fbb300951ad8327c,TSM,Support,Janna,8754
Balls,fbb300951ad8327c,C9,Top,Gnar,11952
Meteos,fbb300951ad8327c,C9,Jungle,Elise,11193
Hai,fbb300951ad8327c,C9,Middle,Fizz,10896
Sneaky,fbb300951ad8327c,C9,ADC,Sivir,15256
LemonNation,fbb300951ad8327c,C9,Support,Thresh,7375
Cris,055b17da8456fdc8,CST,Top,Gnar,12352
Impaler,055b17da8456fdc8,CST,Jungle,Rengar,10670
Jesiz,055b17da8456fdc8,CST,Middle,Ahri,13546
Mash,055b17da8456fdc8,CST,ADC,Caitlyn,13129
Sheep,055b17da8456fdc8,CST,Support,Leona,8005
Gamsu,055b17da8456fdc8,DIG,Top,Irelia,11866
Crumbzz,055b17da8456fdc8,DIG,Jungle,JarvanIV,8988
Shiphtur,055b17da8456fdc8,DIG,Middle,Azir,13641
CoreJJ,055b17da8456fdc8,DIG,ADC,Corki,13809
KiWiKiD,055b17da8456fdc8,DIG,Support,Annie,8233
Flaresz,8e8a9b58df366e2d,WFX,Top,Renekton,14458
ShorterACE,8e8a9b58df366e2d,WFX,Jungle,Rengar,11057
Pobelter,8e8a9b58df366e2d,WFX,Middle,Fizz,15507
Altec,8e8a9b58df366e2d,WFX,ADC,Sivir,18705
Gleeb,8e8a9b58df366e2d,WFX,Support,Annie,10543
Hauntzer,8e8a9b58df366e2d,GV,Top,Sion,11806
Saintvicious,8e8a9b58df366e2d,GV,Jungle,LeeSin,10620
Keane,8e8a9b58df366e2d,GV,Middle,Azir,12749
Cop,8e8a9b58df366e2d,GV,ADC,Corki,13823
BunnyFuFuu,8e8a9b58df366e2d,GV,Support,Janna,7357
Rhux,0ed1cd0e0e57329c,TIP,Top,Irelia,12806
Rush,0ed1cd0e0e57329c,TIP,Jungle,JarvanIV,11147
XiaoWeiXiao,0ed1cd0e0e57329c,TIP,Middle,Leblanc,12835
Apollo,0ed1cd0e0e57329c,TIP,ADC,Sivir,14478
Adrian,0ed1cd0e0e57329c,TIP,Support,Thresh,7346
Quas,0ed1cd0e0e57329c,TL,Top,Gnar,11950
IWDominate,0ed1cd0e0e57329c,TL,Jungle,Nunu,11946
Fenix,0ed1cd0e0e57329c,TL,Middle,Lulu,14140
KEITH,0ed1cd0e0e57329c,TL,ADC,KogMaw,15644
Xpecial,0ed1cd0e0e57329c,TL,Support,Janna,9439
Benny,f932becf86175f38,CLG,Top,Gnar,11498
Xmithie,f932becf86175f38,CLG,Jungle,JarvanIV,11089
Link,f932becf86175f38,CLG,Middle,Lissandra,13803
Doublelift,f932becf86175f38,CLG,ADC,Tristana,14798
aphromoo,f932becf86175f38,CLG,Support,Janna,9081
CaliTrlolz8,f932becf86175f38,T8,Top,Sion,11734
Porpoise8,f932becf86175f38,T8,Jungle,RekSai,9778
Slooshi8,f932becf86175f38,T8,Middle,Lulu,10441
Maplestreet8,f932becf86175f38,T8,ADC,Corki,10711
Dodo8,f932becf86175f38,T8,Support,Annie,6283
Gamsu,194c672d7969984f,DIG,Top,Kassadin,6158
Crumbzz,194c672d7969984f,DIG,Jungle,Rengar,6153
Shiphtur,194c672d7969984f,DIG,Middle,Leblanc,7141
CoreJJ,194c672d7969984f,DIG,ADC,Sivir,6929
KiWiKiD,194c672d7969984f,DIG,Support,Annie,4641
Rhux,194c672d7969984f,TIP,Top,Gnar,8407
Rush,194c672d7969984f,TIP,Jungle,JarvanIV,7297
XiaoWeiXiao,194c672d7969984f,TIP,Middle,Lulu,8412
Apollo,194c672d7969984f,TIP,ADC,Corki,8352
Adrian,194c672d7969984f,TIP,Support,Thresh,5606
Cris,2a7ecaf7380e9d89,CST,Top,Irelia,16477
Impaler,2a7ecaf7380e9d89,CST,Jungle,JarvanIV,12764
Jesiz,2a7ecaf7380e9d89,CST,Middle,Xerath,14326
Mash,2a7ecaf7380e9d89,CST,ADC,Corki,15437
Sheep,2a7ecaf7380e9d89,CST,Support,Janna,9884
Flaresz,2a7ecaf7380e9d89,WFX,Top,Renekton,10378
ShorterACE,2a7ecaf7380e9d89,WFX,Jungle,LeeSin,9089
Pobelter,2a7ecaf7380e9d89,WFX,Middle,Leblanc,12067
Altec,2a7ecaf7380e9d89,WFX,ADC,Tristana,15679
Gleeb,2a7ecaf7380e9d89,WFX,Support,Nami,7582
Quas,c1678fe8c1106f56,TL,Top,Renekton,14180
IWDominate,c1678fe8c1106f56,TL,Jungle,JarvanIV,14653
FeniX,c1678fe8c1106f56,TL,Middle,Azir,17440
KEITH,c1678fe8c1106f56,TL,ADC,Caitlyn,19056
Xpecial,c1678fe8c1106f56,TL,Support,Annie,11721
Benny,c1678fe8c1106f56,CLG,Top,Rumble,12370
Xmithie,c1678fe8c1106f56,CLG,Jungle,Rengar,10706
Link,c1678fe8c1106f56,CLG,Middle,Leblanc,11767
Doublelift,c1678fe8c1106f56,CLG,ADC,Sivir,18093
Aphromoo,c1678fe8c1106f56,CLG,Support,Blitzcrank,8718
Balls,23bade11cbfc3da3,C9,Top,Sion,12341
Meteos,23bade11cbfc3da3,C9,Jungle,RekSai,10976
Hai,23bade11cbfc3da3,C9,Middle,Orianna,12636
Sneaky,23bade11cbfc3da3,C9,ADC,KogMaw,15200
LemonNation,23bade11cbfc3da3,C9,Support,Janna,8436
Hauntzer,23bade11cbfc3da3,GV,Top,Kassadin,13528
Saintvicious,23bade11cbfc3da3,GV,Jungle,Vi,12964
Keane,23bade11cbfc3da3,GV,Middle,Zed,15579
Cop,23bade11cbfc3da3,GV,ADC,Corki,17008
Bunny FuFuu,23bade11cbfc3da3,GV,Support,Morgana,11424
CaliTrlolz8,bb82a23d050613d1,T8,Top,Irelia,12282
Porpoise8,bb82a23d050613d1,T8,Jungle,Nocturne,10702
Slooshi8,bb82a23d050613d1,T8,Middle,Orianna,14112
Maplestreet8,bb82a23d050613d1,T8,ADC,Sivir,11726
Dodo8,bb82a23d050613d1,T8,Support,Nami,8864
Dyrus,bb82a23d050613d1,TSM,Top,Gnar,9513
Santorin,bb82a23d050613d1,TSM,Jungle,Rengar,8732
Bjergsen,bb82a23d050613d1,TSM,Middle,Leblanc,11407
WildTurtle,bb82a23d050613d1,TSM,ADC,Graves,10556
Lustboy,bb82a23d050613d1,TSM,Support,Morgana,6611
Hauntzer,e8fbe00273df6ede,GV,Top,Gnar,16853
Saintvicious,e8fbe00273df6ede,GV,Jungle,JarvanIV,14510
Keane,e8fbe00273df6ede,GV,Middle,Azir,17169
Cop,e8fbe00273df6ede,GV,ADC,Corki,20656
Bunny FuFuu,e8fbe00273df6ede,GV,Support,Morgana,10485
Gamsu,e8fbe00273df6ede,DIG,Top,Lulu,14409
Crumbzz,e8fbe00273df6ede,DIG,Jungle,LeeSin,11468
Shiphtur,e8fbe00273df6ede,DIG,Middle,Xerath,16747
CoreJJ,e8fbe00273df6ede,DIG,ADC,Ezreal,16383
KiWiKiD,e8fbe00273df6ede,DIG,Support,Janna,8454
CaliTrlolz8,00a7858e986c8d87,T8,Top,Jax,16398
Porpoise8,00a7858e986c8d87,T8,Jungle,JarvanIV,11753
Slooshi8,00a7858e986c8d87,T8,Middle,Kassadin,15294
Maplestreet8,00a7858e986c8d87,T8,ADC,Graves,16509
Dodo8,00a7858e986c8d87,T8,Support,Morgana,10937
Cris,00a7858e986c8d87,CST,Top,Gnar,15186
Impaler,00a7858e986c8d87,CST,Jungle,RekSai,12951
Jesiz,00a7858e986c8d87,CST,Middle,Ahri,16774
Mash,00a7858e986c8d87,CST,ADC,Corki,16207
Sheep,00a7858e986c8d87,CST,Support,Thresh,9275
Balls,0a0ecdfbe1497be1,C9,Top,Irelia,12945
Meteos,0a0ecdfbe1497be1,C9,Jungle,Vi,13257
Hai,0a0ecdfbe1497be1,C9,Middle,Lissandra,15869
Sneaky,0a0ecdfbe1497be1,C9,ADC,Kalista,15544
LemonNation,0a0ecdfbe1497be1,C9,Support,Annie,10349
Quas,0a0ecdfbe1497be1,TL,Top,Gnar,10580
