team,gamehash,side,won
TSM,fbb300951ad8327c,blue,1
C9,fbb300951ad8327c,red,0
CST,055b17da8456fdc8,blue,0
DIG,055b17da8456fdc8,red,1
WFX,8e8a9b58df366e2d,blue,1
GV,8e8a9b58df366e2d,red,0
TIP,0ed1cd0e0e57329c,blue,0
TL,0ed1cd0e0e57329c,red,1
CLG,f932becf86175f38,blue,1
T8,f932becf86175f38,red,0
DIG,194c672d7969984f,blue,0
TIP,194c672d7969984f,red,1
CST,2a7ecaf7380e9d89,blue,1
WFX,2a7ecaf7380e9d89,red,0
TL,c1678fe8c1106f56,blue,1
CLG,c1678fe8c1106f56,red,0
C9,23bade11cbfc3da3,blue,0
GV,23bade11cbfc3da3,red,1
T8,bb82a23d050613d1,blue,1
TSM,bb82a23d050613d1,red,0
GV,e8fbe00273df6ede,blue,1
DIG,e8fbe00273df6ede,red,0
T8,00a7858e986c8d87,blue,1
CST,00a7858e986c8d87,red,0
C9,0a0ecdfbe1497be1,blue,1
TL,0a0ecdfbe1497be1,red,0
TIP,7a7bb445d18d9d78,blue,0
CLG,7a7bb445d18d9d78,red,1
TSM,205d8eb5a6029a26,blue,1
WFX,205d8eb5a6029a26,red,0
CLG,526656c79ac5b9d1,blue,1
C9,526656c79ac5b9d1,red,0
DIG,a196e7371aa0a23c,blue,0
WFX,a196e7371aa0a23c,red,1
TSM,9e3a93e956d7732b,blue,1
TL,9e3a93e956d7732b,red,0
TIP,4ee943c3b28c3680,blue,1
T8,4ee943c3b28c3680,red,0
CST,27b78c313c1137d7,blue,0
GV,27b78c313c1137d7,red,1
GV,ff41aed69d32573b,blue,0
TIP,ff41aed69d32573b,red,1
C9,62e360abbd8ddc56,blue,1
T8,62e360abbd8ddc56,red,0
DIG,b8637cf4aa7edc70,blue,0
TSM,b8637cf4aa7edc70,red,1
TL,2d6a1d82ef0f712f,blue,1
CST,2d6a1d82ef0f712f,red,0
WFX,ce0cb0ff15f46940,blue,0
CLG,ce0cb0ff15f46940,red,1
C9,0fc6e4425e0da906,blue,1
CST,0fc6e4425e0da906,red,0
CLG,5ebe8599510754b7,blue,1
GV,5ebe8599510754b7,red,0
TL,ef40a808db5a979c,blue,0
DIG,ef40a808db5a979c,red,1
T8,ac88c9ebef96eea3,blue,1
WFX,ac88c9ebef96eea3,red,0
TSM,0ac141320e5d0d1a,blue,1
TIP,0ac141320e5d0d1a,red,0
CST,93aa539a57bd9410,blue,0
CLG,93aa539a57bd9410,red,1
WFX,e51256475a000fe2,blue,1
TIP,e51256475a000fe2,red,0
DIG,e1bde5fe2c45e8e3,blue,0
C9,e1bde5fe2c45e8e3,red,1
T8,39b9ce5203d86ca3,blue,0
TL,39b9ce5203d86ca3,red,1
GV,762c72407ff38146,blue,0
TSM,762c72407ff38146,red,1
WFX,f7660a0913591227,blue,1
C9,f7660a0913591227,red,0
TIP,fd8fc20be34b5c44,blue,1
CST,fd8fc20be34b5c44,red,0
CLG,c292e0f8bae5f425,blue,0
TSM,c292e0f8bae5f425,red,1
GV,4ee28c7066b9abec,blue,1
TL,4ee28c7066b9abec,red,0
DIG,39b59022b7b3c006,blue,1
T8,39b59022b7b3c006,red,0
TL,d9538f2bc0c37e0e,blue,0
WFX,d9538f2bc0c37e0e,red,1
T8,30f903bff8e6336a,blue,0
GV,30f903bff8e6336a,red,1
C9,2e458128cf3104dc,blue,1
TIP,2e458128cf3104dc,red,0
DIG,c7dc48aa3e0cf7d9,blue,0
CLG,c7dc48aa3e0cf7d9,red,1
TSM,5f815b5bea274396,blue,1
CST,5f815b5bea274396,red,0
C9,3d6baa0cc755c64b,blue,1
CLG,3d6baa0cc755c64b,red,0
TL,69af528266947113,blue,1
TSM,69af528266947113,red,0
WFX,a5610f43cd3d602d,blue,0
DIG,a5610f43cd3d602d,red,1
CST,4a8f29871aa91c19,blue,0
T8,4a8f29871aa91c19,red,1
TIP,396617cc71cbceda,blue,1
GV,396617cc71cbceda,red,0
CST,bc68309937870981,blue,0
C9,bc68309937870981,red,1
T8,a533f17d4bb03191,blue,1
TIP,a533f17d4bb03191,red,0
TL,ca91673c6bf73b8c,blue,1
GV,ca91673c6bf73b8c,red,0
TSM,50ad455b65d0dc4a,blue,1
DIG,50ad455b65d0dc4a,red,0
CLG,4ed8e2415375e46a,blue,1
WFX,4ed8e2415375e46a,red,0
GV,1a0b4fb7d835dfe3,blue,1
CST,1a0b4fb7d835dfe3,red,0
C9,829819eb50b6fb17,blue,1
WFX,829819eb50b6fb17,red,0
TIP,9272190b156f9bfc,blue,1
TSM,9272190b156f9bfc,red,0
CLG,7fc7f4aac6a34613,blue,0
TL,7fc7f4aac6a34613,red,1
T8,ff0fdf86f60bcf5d,blue,1
DIG,ff0fdf86f60bcf5d,red,0
DIG,6a8317d85932ae7b,blue,1
CST,6a8317d85932ae7b,red,0
GV,07f89ba08ad1f2b3,blue,0
CLG,07f89ba08ad1f2b3,red,1
WFX,035f73b1b70fb706,blue,0
TSM,035f73b1b70fb706,red,1
TIP,dbec95dc7669c1c7,blue,1
C9,dbec95dc7669c1c7,red,0
TL,3ed5ca8c2fcd81cd,blue,0
T8,3ed5ca8c2fcd81cd,red,1
C9,b1130cf8f9c5e772,blue,1
DIG,b1130cf8f9c5e772,red,0
TSM,4e2dfb93a17542c8,blue,1
T8,4e2dfb93a17542c8,red,0
TL,3727ce1de86ecc9f,blue,0
TIP,3727ce1de86ecc9f,red,1
GV,58f8b7117f1a7717,blue,1
WFX,58f8b7117f1a7717,red,0
CLG,ba06b386c0eeec8e,blue,1
CST,ba06b386c0eeec8e,red,0
CST,b89b17c8ee1630d8,blue,0
TIP,b89b17c8ee1630d8,red,1
TL,d4307d5d69dea1fe,blue,0
C9,d4307d5d69dea1fe,red,1
